type,ID,GroundType,reportID,Date,Latitude,Longitude
iButton,7799C9,steep bedrock,AQQ-Bs01,20-07-21,"67",-53.294
Geoprecision90,A542B2,steep bedrock,AQQ-G01,17-07-21,"67",-53.293
Geoprecision30,A542A6,steep bedrock,AQQ-G02,18-07-21,"67",-53.286
iButton,77946A,soil,AQQ-B05,18-07-21,"67",-53.270
iButton,779B72,soil,AQQ-B06,18-07-21,"67",-53.270
iButton,779BBC,soil,AQQ-B07,18-07-21,"67",-53.269
Geoprecision90,???,steep bedrock,AQQ-G03,18-07-21,"67",-53.269
iButton,"779996",soil,AQQ-B08,20-07-21,"67",-53.254
iButton,"7797D4",soil,AQQ-B09,20-07-21,"67",-53.244
Geoprecision30,A542A7,steep bedrock,AQQ-G04,20-07-21,"67",-53.243
Geoprecision90,A542AF,steep bedrock,AQQ-G05,20-07-21,"67",-53.245
iButton,"779506",soil,AQQ-B10,17-09-21,"67",-53.370
iButton,"779117",soil,AQQ-B11,17-09-21,"67",-53.370
Geoprecision30,A53BB6,steep bedrock,SIS-G01,09/09/20,"67",-53.665
Geoprecision30,A53BA9,steep bedrock,SIS-G02,11/09/20,"67",-53.672
Geoprecision90,A53BB8,steep bedrock,SIS-G03,11/09/20,"67",-53.673
Geoprecision90,A53BAB,steep bedrock,SIS-G04,14/09/20,"67",-53.653
Geoprecision30,A53BB7,steep bedrock,SIS-G05,23/09/20,"67",-53.691
Geoprecision90,A53BA8,steep bedrock,SIS-G06,26/09/20,"67",-53.656
Geoprecision30,A53BB5,steep bedrock,SIS-G07,27/09/20,"67",-53.718
Geoprecision90,A53BBA,steep bedrock,SIS-G08,27/09/20,"67",-53.719
Geoprecision90,A53BAC,steep bedrock,SIS-G09,25/10/20,"67",-53.674
Geoprecision30,A542A8,steep bedrock,SIS-G10,20/09/21,"67",-53.578
iButton,779B66,soil,SIS-B01,20/09/21,"67",-53.577
iButton,"779616",soil,SIS-B02,20/09/21,"67",-53.578
iButton,77915A,soil,SIS-B03,20/09/21,"67",-53.577
iButton,779A141,soil,SIS-B04,23-09-21,"67",-53.688
iButton,"7796641",soil,SIS-B05,23-09-21,"67",-53.684
iButton,"7790D41",soil,SIS-B06,23-09-21,"67",-53.689
iButton,77949C41,soil,SIS-B07,23-09-21,"67",-53.691
iButton,"77996441",soil,SIS-B08,23-09-21,"67",-53.700
iButton,"7795441",soil,SIS-B09,23-09-21,"67",-53.700
iButton,"77928341",soil,SIS-B10,23-09-21,"67",-53.702
iButton,77993AD41,steep bedrock,SIS-Bs01,23-09-21,"67",-53.688
iButton,"77942941",steep bedrock,SIS-Bs02,23-09-21,"67",-53.696
iButton,6436FF,soil,SIS-B11,29-09-21,"67",-53.706
iButton,"643653",soil,SIS-B12,29-09-21,"67",-53.712
iButton,"643709",soil,SIS-B13,06-10-21,"67",-53.675
iButton,6430EE,soil,SIS-B14,06-10-21,"67",-53.673
iButton,6432B9,soil,SIS-B15,06-10-21,"67",-53.671
